,,,,
FSO15 - IR date,,,,
,,,,
,,,,
cm-1,%T,,,
3684,104.39,,,
3683,104.43,,,
3682,104.46,,,
3681,104.46,,,
3680,104.46,,,
3679,104.46,,,
3678,104.46,,,
3677,104.46,,,
3676,104.45,,,
3675,104.45,,,
3674,104.44,,,
3673,104.43,,,
3672,104.42,,,
3671,104.42,,,
3670,104.44,,,
3669,104.47,,,
3668,104.47,,,
3667,104.44,,,
3666,104.4,,,
3665,104.38,,,
3664,104.39,,,
3663,104.4,,,
3662,104.41,,,
3661,104.4,,,
3660,104.39,,,
3659,104.37,,,
3658,104.37,,,
3657,104.39,,,
3656,104.42,,,
3655,104.44,,,
3654,104.44,,,
3653,104.4,,,
3652,104.35,,,
3651,104.31,,,
3650,104.28,,,
3649,104.28,,,
3648,104.28,,,
3647,104.27,,,
3646,104.26,,,
3645,104.27,,,
3644,104.28,,,
3643,104.29,,,
3642,104.3,,,
3641,104.29,,,
3640,104.26,,,
3639,104.23,,,
3638,104.21,,,
3637,104.2,,,
3636,104.21,,,
3635,104.24,,,
3634,104.27,,,
3633,104.29,,,
3632,104.3,,,
3631,104.28,,,
3630,104.24,,,
3629,104.21,,,
3628,104.19,,,
3627,104.18,,,
3626,104.16,,,
3625,104.15,,,
3624,104.16,,,
3623,104.17,,,
3622,104.16,,,
3621,104.14,,,
3620,104.13,,,
3619,104.13,,,
3618,104.14,,,
3617,104.13,,,
3616,104.12,,,
3615,104.1,,,
3614,104.07,,,
3613,104.03,,,
3612,103.99,,,
3611,103.96,,,
3610,103.95,,,
3609,103.95,,,
3608,103.96,,,
3607,103.97,,,
3606,103.97,,,
3605,103.96,,,
3604,103.94,,,
3603,103.91,,,
3602,103.89,,,
3601,103.88,,,
3600,103.87,,,
3599,103.86,,,
3598,103.84,,,
3597,103.83,,,
3596,103.82,,,
3595,103.81,,,
3594,103.8,,,
3593,103.78,,,
3592,103.76,,,
3591,103.74,,,
3590,103.72,,,
3589,103.68,,,
3588,103.64,,,
3587,103.59,,,
3586,103.56,,,
3585,103.54,,,
3584,103.55,,,
3583,103.57,,,
3582,103.59,,,
3581,103.6,,,
3580,103.59,,,
3579,103.58,,,
3578,103.55,,,
3577,103.52,,,
3576,103.5,,,
3575,103.49,,,
3574,103.49,,,
3573,103.5,,,
3572,103.51,,,
3571,103.51,,,
3570,103.49,,,
3569,103.46,,,
3568,103.42,,,
3567,103.4,,,
3566,103.38,,,
3565,103.36,,,
3564,103.33,,,
3563,103.3,,,
3562,103.28,,,
3561,103.27,,,
3560,103.25,,,
3559,103.23,,,
3558,103.2,,,
3557,103.16,,,
3556,103.12,,,
3555,103.09,,,
3554,103.09,,,
3553,103.11,,,
3552,103.15,,,
3551,103.18,,,
3550,103.19,,,
3549,103.18,,,
3548,103.16,,,
3547,103.12,,,
3546,103.09,,,
3545,103.06,,,
3544,103.03,,,
3543,103,,,
3542,102.97,,,
3541,102.94,,,
3540,102.91,,,
3539,102.9,,,
3538,102.9,,,
3537,102.9,,,
3536,102.9,,,
3535,102.9,,,
3534,102.88,,,
3533,102.85,,,
3532,102.83,,,
3531,102.83,,,
3530,102.83,,,
3529,102.82,,,
3528,102.79,,,
3527,102.76,,,
3526,102.74,,,
3525,102.74,,,
3524,102.74,,,
3523,102.73,,,
3522,102.73,,,
3521,102.72,,,
3520,102.72,,,
3519,102.72,,,
3518,102.72,,,
3517,102.71,,,
3516,102.67,,,
3515,102.61,,,
3514,102.57,,,
3513,102.54,,,
3512,102.53,,,
3511,102.53,,,
3510,102.55,,,
3509,102.56,,,
3508,102.56,,,
3507,102.55,,,
3506,102.52,,,
3505,102.49,,,
3504,102.46,,,
3503,102.43,,,
3502,102.41,,,
3501,102.39,,,
3500,102.37,,,
3499,102.36,,,
3498,102.34,,,
3497,102.33,,,
3496,102.31,,,
3495,102.31,,,
3494,102.32,,,
3493,102.3,,,
3492,102.27,,,
3491,102.23,,,
3490,102.2,,,
3489,102.19,,,
3488,102.19,,,
3487,102.19,,,
3486,102.17,,,
3485,102.14,,,
3484,102.09,,,
3483,102.05,,,
